,tweet_id,favorites,retweets
1482,781524693396357120,22095,6039
1483,781661882474196992,11122,2953
1484,781955203444699136,11837,3664
1485,782021823840026624,0,6809
1486,782305867769217024,17768,6076
1487,782598640137187329,8283,2041
1488,782722598790725632,18421,5888
1489,782747134529531904,7950,1520
1490,782969140009107456,25711,8022
1491,783085703974514689,8669,2420
1492,783334639985389568,31147,12774
1493,783347506784731136,0,6111
1494,783391753726550016,17982,6005
1495,783466772167098368,9013,2458
1496,783695101801398276,11135,3518
1497,783821107061198850,7844,2133
1498,783839966405230592,32057,11794
1499,784431430411685888,6069,1397
1500,784517518371221505,9567,2773
1501,784826020293709826,10818,3530
1502,785170936622350336,12905,5311
1503,785264754247995392,7754,1782
1504,785533386513321988,9718,2186
1505,785639753186217984,8336,2421
1506,785872687017132033,7127,1992
1507,785927819176054784,12127,3460
1508,786036967502913536,0,7722
1509,786233965241827333,16338,5218
1510,786363235746385920,11652,3828
1511,786595970293370880,10052,3384
1512,786664955043049472,11383,2795
1513,786709082849828864,19409,6657
1514,786963064373534720,28394,8721
1515,787322443945877504,8321,1908
1516,787397959788929025,11591,3101
1517,787717603741622272,10908,3042
1518,787810552592695296,9270,3345
1519,788039637453406209,6564,1449
1520,788070120937619456,0,3743
1521,788150585577050112,6567,1428
1522,788178268662984705,7728,2313
1523,788412144018661376,16661,5795
1524,788765914992902144,29307,11271
1525,788908386943430656,29289,13549
1526,789137962068021249,10376,3060
1527,789268448748703744,9746,2823
1528,789530877013393408,12569,3690
1529,789599242079838210,7235,2119
1530,789628658055020548,8030,1950
1531,789986466051088384,9878,2536
1532,790277117346975746,13412,3486
1533,790337589677002753,8355,2042
1534,790581949425475584,22096,7875
1535,790698755171364864,8757,2088
1536,790723298204217344,0,2536
1537,790946055508652032,17751,5142
1538,790987426131050500,10568,2342
1539,791026214425268224,0,4507
1540,791312159183634433,9401,2785
1541,791406955684368384,14025,4509
1542,791672322847637504,12577,3420
1543,792050063153438720,7663,1974
1544,792394556390137856,14391,4696
1545,792773781206999040,7853,1840
1546,792883833364439040,12096,4690
1547,792913359805018113,15334,4404
1548,793120401413079041,13573,4285
1549,793135492858580992,6928,2736
1550,793150605191548928,6602,1869
1551,793165685325201412,10056,3046
1552,793180763617361921,7413,2184
1553,793195938047070209,16339,6168
1554,793210959003287553,9552,3082
1555,793226087023144960,10524,3134
1556,793241302385262592,11243,3592
1557,793256262322548741,21390,9148
1558,793271401113350145,9243,2595
1559,793286476301799424,26316,10092
1560,793500921481273345,11438,2607
1561,793601777308463104,8526,1791
1562,793614319594401792,0,3420
1563,793845145112371200,9848,2059
1564,793962221541933056,17994,5361
1565,794205286408003585,9840,3630
1566,794332329137291264,10244,2906
1567,794355576146903043,0,11271
1568,794926597468000259,11000,2524
1569,794983741416415232,0,3690
1570,795076730285391872,17362,5953
1571,795400264262053889,10807,3146
1572,795464331001561088,53261,26117
1573,796031486298386433,11557,4024
1574,796080075804475393,9045,2541
1575,796116448414461957,9730,2655
1576,796149749086875649,34602,15703
1577,796177847564038144,0,15703
1578,796387464403357696,11765,4569
1579,796484825502875648,8103,1932
1580,796759840936919040,12687,3357
1581,796865951799083009,8201,2087
1582,797236660651966464,21355,7263
1583,797545162159308800,15507,5323
1584,797971864723324932,12459,3446
1585,798209839306514432,11097,2803
1586,798340744599797760,0,3680
1587,798628517273620480,0,2154
1588,798644042770751489,0,2029
1589,798665375516884993,0,4262
1590,798673117451325440,0,6066
1591,798694562394996736,0,5436
1592,798697898615730177,0,7134
1593,798925684722855936,7958,1568
1594,798933969379225600,14075,4903
1595,799063482566066176,8637,2699
1596,799297110730567681,10596,3034
1597,799422933579902976,8603,2100
1598,799757965289017345,8991,2371
1599,799774291445383169,0,5132
1600,800018252395122689,30357,14431
1601,800141422401830912,16368,2811
1602,800388270626521089,11914,3078
1603,800443802682937345,0,4727
1604,800459316964663297,10114,2364
1605,800513324630806528,14045,3294
1606,800751577355128832,11221,3039
1607,801115127852503040,8630,2287
1608,801167903437357056,26193,6512
1609,801285448605831168,6471,916
1610,801538201127157760,8757,2248
1611,801958328846974976,8245,1870
1612,802239329049477120,9690,2854
1613,802265048156610565,7053,1497
1614,802323869084381190,17352,6381
1615,802572683846291456,9547,2737
1616,802624713319034886,0,3204
1617,802952499103731712,9657,2201
1618,803276597545603072,10721,2700
1619,803380650405482500,8289,2032
1620,803638050916102144,11728,4521
1621,803692223237865472,0,8148
1622,803773340896923648,10727,3037
1623,804026241225523202,47677,17776
1624,804413760345620481,0,3530
1625,804738756058218496,14657,4214
1626,805207613751304193,8328,1865
1627,805487436403003392,9361,2775
1628,805520635690676224,6128,1801
1629,805826884734976000,7031,2007
1630,805932879469572096,8831,2092
1631,805958939288408065,0,5888
1632,806219024703037440,6864,1306
